"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","AdjPValue","Power","BCOV"
"ENSG00000127329","PTPRB",-1.312,4.071,4.67582378744351e-10,2.25097079517398e-08,1,0.385
"ENSG00000114450","GNB4",-1.062,2.443,4.83086666603535e-10,2.31956886203453e-08,1,0.303
"ENSG00000106588","PSMA2",0.84,6.135,5.20335402905054e-10,2.49194825339452e-08,1,0.248
"ENSG00000278550","SLC43A2",-1.548,1.368,5.24461102163711e-10,2.5031481910125e-08,1,0.434
"ENSG00000169499","PLEKHA2",-0.904,3.149,5.25382180089175e-10,2.5031481910125e-08,1,0.261
"ENSG00000047597","XK",1.976,0.114,5.3687078754703e-10,2.55130935182375e-08,0.997,0.529
"ENSG00000053747","LAMA3",1.836,1.553,5.48654373796858e-10,2.60062173179711e-08,1,0.516
"ENSG00000159363","ATP13A2",-1.284,2.375,5.59970697017012e-10,2.64071895537155e-08,1,0.367
"ENSG00000156869","FRRS1",-1.226,3.416,5.5994998081845e-10,2.64071895537155e-08,1,0.361
"ENSG00000249709","ZNF564",1.099,2.022,5.81322115265173e-10,2.7344327284458e-08,0.999,0.311
"ENSG00000281289","LSS",1.998,4.986,5.87668729772182e-10,2.75727008593111e-08,1,0.573
"ENSG00000008517","IL32",2.058,6.889,5.9616620590555e-10,2.79005784363797e-08,1,0.59
"ENSG00000153815","CMIP",-0.97,4.144,6.25649880470733e-10,2.9206473965611e-08,1,0.285
"ENSG00000138411","HECW2",-1.263,2.186,6.35109133398866e-10,2.95733688665276e-08,1,0.364
"ENSG00000157510","AFAP1L1",-1.183,2.066,6.50205024843253e-10,3.01663899258338e-08,1,0.338
"ENSG00000100393","EP300",-0.885,4.36,6.51108383663729e-10,3.01663899258338e-08,1,0.262
"ENSG00000280618","CYFIP1",-3.448,1.229,6.7252585157935e-10,3.10807822307397e-08,1,0.919
"ENSG00000127511","SIN3B",-0.93,2.232,6.90636142235013e-10,3.18381539285697e-08,0.996,0.262
