MYB	RAG2
TFAP2C	CSTA
TP53	PPM1D
PRDM1	CIITA
MYC	BAX
TP53	FAS
ATF1	TH
SREBF2	FDFT1
SP1	CXCL1
NFKB1	CFTR
RELA	CFTR
RELA	IL1B
SPI1	PTPRC
AHR	MYC
RELA	MYC
MYB	MAT2A
CREB1	REN
CREB1	PSEN1
SP1	TP53
NFE2L2	GCLC
USF1	S100A6
HIF1A	SLC2A1
STAT3	BCL6
TP53	HRAS
TP53	NOS2
STAT1	COL1A2
CREB1	TRH
JUN	IL1B
ESR1	TGFA
TFAP2A	DBH
TFAP2A	TH
NR1H3	APOE
NR1H3	ABCG1
TP53	CHEK1
NKX2-1	SFTPB
E2F4	DHFR
TFDP1	DHFR
ETV4	MMP7
STAT3	MCL1
SP1	CCND2
STAT5A	CCND2
REL	IL6
REL	CRP
NFYB	CD74
AR	MME
CEBPB	IGF2
SP1	IGF2
ESR1	CTSD
SP1	CTSD
GATA2	EPO
RARA	MUC5AC
PPARA	CPT1A
ESR1	HSPB1
CREB1	NF1
ETV4	ERBB2
CREB1	PLAT
ATF2	PLAT
HNF1A	UGT2B17
JUN	VEGFA
NR5A1	SRY
SP1	MUC2
SP3	MUC2
POU2F1	GADD45A
SP1	PDGFB
EGR1	PDGFB
HNF4A	APOB
HNF4A	APOC3
SP1	CDKN1B
ETS1	CDKN2A
ETS2	CDKN2A
FOSL1	PLAUR
JUN	PLAUR
TP53	NDRG1
MITF	TYRP1
SP3	UTRN
IRF1	TAP2
CREB1	IL2
ETV4	PLAUR
SPI1	CYBB
USF1	APC
USF2	APC
TAL1	TCF12
JUN	NOS2
SPI1	IL12B
REL	IL2
JUND	IVL
SP1	GJA1
SOX9	AMH
SRF	DMD
SP3	MAOB
SP1	MAOB
FOS	CD69
NR3C1	SCNN1A
USF1	CYP1A1
ETV4	PTGS2
NFE2L2	HMOX1
ESR1	CDKN1A
TP53	CASP1
PPARG	PTGS2
POU2F1	CDX2
HNF1A	PDX1
SP1	APOA1
HIF1A	EDN1
CEBPB	IL12B
JUN	IL12B
SRF	TAGLN
CDX2	SI
E4F1	CCNA2
ZBTB17	CDKN2B
MYC	CDKN2B
CEBPA	RUNX1
PPARA	FABP1
HNF1A	AKR1C4
SP1	SLC9A2
SP3	SLC9A2
NR1H2	SREBF1
NR1H3	SREBF1
NR1H3	FASN
PPARG	CCND1
FOS	CCND1
MYB	CD4
SP1	CDK6
WT1	AR
TP53	DNMT1
MITF	DCT
TFAP2A	F2R
TFAP2A	FAS
TFAP2A	KIT
MYB	PDCD4
EGR1	BCR
STAT3	A2M
JUN	NR3C1
JUN	CYP11A1
JUN	MMP9
USF1	TOP3A
YY1	TOP3A
NRL	RHO
SMAD3	BGLAP
MITF	CTSK
JUND	IL6
SP1	CES1
TFAP2A	TAF7
CEBPA	LEP
MYC	CEBPA
CEBPA	MYC
SP1	CD28
EGR1	CD28
SP1	COL1A1
SP1	TIMP1
TP53	MSH2
FOS	VEGFA
FOS	IL6
USF1	PTGS2
HIF1A	HMOX1
FOXP1	SFTPC
PAX5	CD19
RELA	NFKB1
AHR	UGT1A6
SP1	CD99
STAT6	BCL2L1
TP53	POLD1
HNF4A	GHR
CREB1	BDNF
PPARG	PTEN
NR1H4	ABCB11
RELA	BCL3
E2F1	APAF1
TP53	APAF1
ETS1	CSNK2A2
SP3	TNF
RELA	CSF2
TP53	CDC25C
PPARG	PCK1
SP1	AGTR1
TFAP2A	CDKN1A
HSF1	HSPA1B
SPI1	ACP5
SP1	MAT2A
SP1	CA9
STAT3	BCL2
E2F1	TERT
BMAL1	CRY1
BMAL1	PER2
NPAS2	CRY1
NPAS2	PER1
NPAS2	PER2
SP1	COL2A1
SP3	COL2A1
PAX8	BCL2
ESR1	F12
TP53	BBC3
FOXO1	PCK1
SP1	MYC
SP1	CYP7B1
TP53	SERPINE1
NFKB1	FAS
SMAD3	PTHLH
SP1	IFNGR1
EGR1	CAT
SP1	GSTP1
ETS1	ABCB1
TFAP2C	ERBB2
SP3	CYP3A5
NFYA	SP3
NFAT5	TNF
SP3	CYP3A7
SP1	CYP3A4
SP1	CYP3A7
EGR1	CCND1
EGR1	CDKN1A
EGR1	PIK3R1
AR	JUN
MYC	CCNE1
SOX9	CDKN1A
SP3	IGFBP3
SP1	IGFBP3
STAT5B	IGF1
CDX2	KLF4
TP53	HIPK2
PPARG	ADIPOQ
HNF4A	CYP8B1
SOX10	DCT
TP53	PTEN
TP53	EGFR
KLF4	LAMA3
TBX5	NPPA
USF2	TOP3A
ELK1	FOS
FOS	FGF2
TP53	CHUK
HNF4A	PCK1
E2F1	BCL2
SP1	HRAS
SP1	CXCL5
ZNF148	CXCL5
NFKB1	BCL2
SP1	GRIN1
SMAD4	FSTL3
TP53	AFP
FOXM1	CCNB1
FOXM1	CCND1
PAX8	SLC5A5
SP1	MMP28
SP1	PAX6
TWIST1	CDKN1A
ETS1	SERPINE1
GATA3	IL13
TP73	CDK1
ATF6	ATP2A2
CEBPG	SFTPD
CEBPA	SFTPD
CEBPB	SFTPD
TP53	EPHA2
TP53	TGFA
SP1	OPRM1
SP3	OPRM1
JUN	APP
ESR1	STAT5A
STAT5A	ESR1
STAT5A	ESR2
STAT5B	ESR1
FOS	STAT3
STAT3	FOS
E2F4	MYC
MYC	SMAD3
SMAD3	MYC
TP53	PTPN13
CREB1	IL6
CREB1	BRCA1
NR1H4	NR0B2
EGR1	ACE
TP53	BCL2L1
TP53	MKI67
TP53	BIRC5
MEF2A	SLC2A4
WT1	PODXL
ETS1	ECE1
ESR1	FOS
PPARA	PCK1
JUN	NGF
JUN	FAS
SOX10	MBP
SOX10	GJB1
JUN	FOS
RBPJ	HEY2
SP1	CHRNB4
SP3	CTSL
HIF1A	PFKFB3
EGR1	FASLG
CEBPB	IL5
RELA	CCL20
HNF4A	CYP2D6
CEBPA	CSF3R
ESR1	NCOA3
FOXO4	BCL6
REST	BDNF
SP3	AGTR1
EGR1	PTEN
POU2F1	IL2
POU2F1	IL4
TP53	KLK3
MITF	ACP5
TP53	MMP2
PPARA	FADS2
BMAL1	CRY2
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER2
SP1	CDKN2B
HNF4A	ALDH2
SP1	BSG
MITF	CDH1
TP53	HNF4A
SPI1	DAB2
PDX1	GCK
ETS1	MMP1
CREB1	NR4A3
